Nombre,Apellidos,Cedula,Direccion,Ciudad,Telefono
Claudia,Castro Zamora,1000,Carrera 10 #43-20 apto 302,Bogotá,3104583934
Jorge,Pérez López,1001,Carrera 13 #34-20,Bogotá,3003456945
Juan Manuel,Sánchez Lozano,1002,Carrera 25 #72-40,Bogotá,3144712446
Adrian Esteban,Garcia Ardila,1003,Carrera 54 # 10-40,Bogotá,313290662
Angela Sofia,Moreno Rodriguez,1004,Carrera 37 # 1-6,Bogotá,3138399609
Brayan Ricardo,Garcia Morales,1005,Carrera 80 # 4-6,Bogotá,3165066667
Daniela Paola,Beltran Saavedra,1006,Carrera 43 # 6-6,Bogotá,3177456453
David Leonardo,Gomez Macareno,1007,Carrera 62 # 3-2,Bogotá,3186516713
Diego Alejandro,Mateus Cruz,1008,Carrera 8 # 3-0,Bogotá,3171491989
Ericka Julieth,Torres Paez,1009,Carrera 23 # 7-9,Bogotá,3163656400
Esteban,Moreno Castillo,1010,Carrera 29 # 3-7,Bogotá,3149008683
Felipe Andres,Gutierrez Naranjo,1011,Carrera 44 # 5-6,Bogotá,318290102
Gustavo Andres,Mendez Hernandez,1012,Carrera 95 # 6-4,Bogotá,3174132664
Jose Carlos,Molano De Oro,1013,Carrera 29 # 9-1,Bogotá,3144596235
Jose Gabriel,Rubio Jojoa,1014,Carrera 42 # 5-2,Bogotá,3169890713
Juan Jose,Camacho Cala,1015,Carrera 67 # 3-3,Bogotá,31848681
Julio Andres,Mejia Vera,1016,Carrera 69 # 2-8,Bogotá,3169942848
Karen Juliana,Celis Buitrago,1017,Carrera 13 # 1-4,Bogotá,3192914301
Karol Valentina,Yate Vega,1018,Carrera 40 # 5-6,Bogotá,3112157013
Kevin Stid,Pelaez Nimsica,1019,Carrera 54 # 5-4,Bogotá,3102310628
Leyder Fabian,Vera Quintero,1020,Carrera 0 # 1-7,Bogotá,3193299492
Maria Fernanda,Garces Cala,1021,Carrera 19 # 0-6,Bogotá,316760773
Miguel Santiago,Romero Estevez,1022,Carrera 89 # 0-4,Bogotá,3186853641
Nicolas,Miranda Moreno,1023,Carrera 22 # 5-7,Bogotá,3191571003
Nicolas,Duarte Ospina,1024,Carrera 89 # 8-6,Bogotá,3138380992
Nicolas Daniel,Peralta Sopo,1025,Carrera 71 # 7-6,Bogotá,3192624382
Santiago,Romero Pineda,1026,Carrera 19 # 9-8,Bogotá,3155321845
Sebastian,Pedraza Mancera,1027,Carrera 22 # 7-3,Bogotá,3161409222
