cedulaRemitente,cedulaDestinatario,peso,tipoContenido,numeGuia
37898563423,345667335678,2000,prenda de vestir,RTY657
345667335678,37898563423,5000,calefactor electrico,OPQ456
30367825533,54110617861,6536,Prenda de vestir,JYF387
21571725585,68686165189,8959,Nevera,JGY476
88288425383,42752076851,880,Consola PS4,NHG334
1023443453,70900356948,2860,Computador HP,MMJ768
47767239440,2144908119,1348,Libros,BYY900
23315096499,52902541923,7501,Cinturones,NHT123
30367825533,54110617861,10897,TV,RHO501
88288425383,54110617861,880,Consola PS4,NUY720
47767239440,30367825533,1348,Libros,BYY906
37898563423,52902541923,7501,Cinturones,NHT345
30367825533,54110617861,2001,prenda de vestir,RTY658
88288425383,54110617861,5001,calefactor electrico,OPQ457
47767239440,30367825533,6537,Prenda de vestir,JYF388
37898563423,52902541923,8960,Nevera,JGY477
88288425383,42752076851,881,Consola PS5,NHG335
1023443453,70900356948,2861,Computador HP,MMJ769
47767239440,2144908119,1349,Libros,BYY901
23315096499,52902541923,7502,Cinturones,NHT124
37898563423,345667335678,10898,TV,RHO502
345667335678,37898563423,881,Consola PS5
30367825533,54110617861,1349,Libros,BYY90
21571725585,68686165189,7502,Cinturones,NHT346
88288425383,42752076851,2000,prenda de vestir,RTY659
1023443453,70900356948,5000,calefactor electrico,OPQ458
47767239440,2144908119,6536,Prenda de vestir,JYF389
23315096499,52902541923,8959,Nevera,JGY478
37898563423,345667335678,880,Consola PS4,NHG336
345667335678,37898563423,2860,Computador HP,MMJ770
30367825533,54110617861,1348,Libros,BYY902
21571725585,68686165189,7501,Cinturones,NHT125
30367825533,54110617861,10897,TV,RHO503
88288425383,54110617861,880,Consola PS4,NUY722
47767239440,30367825533,1348,Libros,BYY908
37898563423,68686165189,7501,Cinturones,NHT347
47767239440,2144908119,2001,prenda de vestir,RTY660
8228310068,68686165189,5001,calefactor electrico,OPQ459
37898563423,345667335678,6537,Prenda de vestir,JYF390
345667335678,37898563423,8960,Nevera,JGY479
30367825533,54110617861,881,Consola PS5,NHG337
21571725585,68686165189,2861,Computador HP,MMJ771
88288425383,42752076851,1349,Libros,BYY903
1023443453,70900356948,7502,Cinturones,NHT126
47767239440,2144908119,10898,TV,RHO504
8228310068,68686165189,881,Consola PS5,NUY723
37898563423,345667335678,1349,Libros,BYY909
345667335678,37898563423,7502,Cinturones,NHT348
2103319237,6571731482,80,Zapatos,ZRK004
7155731141,6496451732,5,Libros,IUC495
7955897416,5597761245,69,Zapatos,REM872
8402909745,3258566019,44,Libros,SHS781
1078151761,3258566019,16,Ropa,KXJ242
6731725680,7955897416,27,Zapatos,QCL603
1078151761,2103319237,29,Ropa,IRI479
3122486575,6025555427,24,Libros,JNN849
7155731141,6731725680,48,Juguetes,LJF916
2393570463,6571731482,61,Zapatos,BEH103
5908021822,5848576852,96,VideoJuegos,YNX438
6731725680,5597761245,17,Libros,WEY652
3122486575,5908021822,85,Ropa,DQT906
2303943219,3258566019,16,Libros,WQK005
3258566019,4996913308,90,Zapatos,CBE756
4996913308,2870377685,49,Libros,OIK107
6571731482,5201359744,65,Ropa,LLM124
5201359744,6571731482,50,Computador,WUE871
9204970040,6731725680,97,Juguetes,NGU945
5908021822,2393570463,20,Libros,BIH193
5201359744,1078151761,30,Zapatos,CJN427
5848576852,9204970040,36,Libros,IMF430
7120799822,8402909745,83,Juguetes,OQK039
5597761245,4164715974,57,Libros,GDS240
4164715974,6025555427,62,Ropa,KVF139
6025555427,7155731141,36,Relojes,HVV108
